system.membus.pkt_count::total,18616
system.membus.pkt_size_system.cpu.icache_port::system.mem_ctrls.port,58264
system.membus.pkt_size_system.cpu.icache_port::total,58264
system.membus.pkt_size_system.cpu.dcache_port::system.mem_ctrls.port,14327
system.membus.pkt_size_system.cpu.dcache_port::total,14327
system.membus.pkt_size::total,72591
system.membus.snoops,0
system.membus.snoopTraffic,0
system.membus.snoop_fanout::samples,9308
system.membus.snoop_fanout::mean,0
system.membus.snoop_fanout::stdev,0
system.membus.snoop_fanout::underflows,0,0.00%,0.00%
system.membus.snoop_fanout::0,9308,100.00%,100.00%
system.membus.snoop_fanout::1,0,0.00%,100.00%
system.membus.snoop_fanout::overflows,0,0.00%,100.00%
system.membus.snoop_fanout::min_value,0
system.membus.snoop_fanout::max_value,0
system.membus.snoop_fanout::total,9308
system.voltage_domain.voltage,1
system.clk_domain.clock,1000
system.cpu_voltage_domain.voltage,1
system.mem_ctrls.pwrStateResidencyTicks::UNDEFINED,5941500
system.mem_ctrls.bytes_read::.cpu.inst,58264
system.mem_ctrls.bytes_read::.cpu.data,7167
system.mem_ctrls.bytes_read::total,65431
system.mem_ctrls.bytes_inst_read::.cpu.inst,58264
system.mem_ctrls.bytes_inst_read::total,58264
system.mem_ctrls.bytes_written::.cpu.data,7160
system.mem_ctrls.bytes_written::total,7160
system.mem_ctrls.num_reads::.cpu.inst,7283
system.mem_ctrls.num_reads::.cpu.data,1084
system.mem_ctrls.num_reads::total,8367
system.mem_ctrls.num_writes::.cpu.data,941
system.mem_ctrls.num_writes::total,941
system.mem_ctrls.bw_read::.cpu.inst,9806277876
system.mem_ctrls.bw_read::.cpu.data,1206261045
system.mem_ctrls.bw_read::total,11012538921
system.mem_ctrls.bw_inst_read::.cpu.inst,9806277876
system.mem_ctrls.bw_inst_read::total,9806277876
system.mem_ctrls.bw_write::.cpu.data,1205082892
system.mem_ctrls.bw_write::total,1205082892
system.mem_ctrls.bw_total::.cpu.inst,9806277876
system.mem_ctrls.bw_total::.cpu.data,2411343937
system.mem_ctrls.bw_total::total,12217621813
system.mem_ctrls.priorityMinLatency,0.000000000000
system.mem_ctrls.priorityMaxLatency,0.000000000000
system.mem_ctrls.numReadWriteTurnArounds,0
system.mem_ctrls.numWriteReadTurnArounds,0
system.mem_ctrls.numStayReadState,0
system.mem_ctrls.numStayWriteState,0
system.mem_ctrls.readReqs,0
system.mem_ctrls.writeReqs,0
system.mem_ctrls.readBursts,0
system.mem_ctrls.writeBursts,0
system.mem_ctrls.servicedByWrQ,0
system.mem_ctrls.mergedWrBursts,0
system.mem_ctrls.neitherReadNorWriteReqs,0
system.mem_ctrls.perBankRdBursts::0,0
system.mem_ctrls.perBankRdBursts::1,0
system.mem_ctrls.perBankRdBursts::2,0
system.mem_ctrls.perBankRdBursts::3,0
system.mem_ctrls.perBankRdBursts::4,0
system.mem_ctrls.perBankRdBursts::5,0
system.mem_ctrls.perBankRdBursts::6,0
system.mem_ctrls.perBankRdBursts::7,0
system.mem_ctrls.perBankRdBursts::8,0
system.mem_ctrls.perBankRdBursts::9,0
system.mem_ctrls.perBankRdBursts::10,0
system.mem_ctrls.perBankRdBursts::11,0
system.mem_ctrls.perBankRdBursts::12,0
system.mem_ctrls.perBankRdBursts::13,0
system.mem_ctrls.perBankRdBursts::14,0
system.mem_ctrls.perBankRdBursts::15,0
system.mem_ctrls.perBankWrBursts::0,0
system.mem_ctrls.perBankWrBursts::1,0
system.mem_ctrls.perBankWrBursts::2,0
system.mem_ctrls.perBankWrBursts::3,0
system.mem_ctrls.perBankWrBursts::4,0
system.mem_ctrls.perBankWrBursts::5,0
system.mem_ctrls.perBankWrBursts::6,0
system.mem_ctrls.perBankWrBursts::7,0
system.mem_ctrls.perBankWrBursts::8,0
system.mem_ctrls.perBankWrBursts::9,0
system.mem_ctrls.perBankWrBursts::10,0
system.mem_ctrls.perBankWrBursts::11,0
system.mem_ctrls.perBankWrBursts::12,0
system.mem_ctrls.perBankWrBursts::13,0
system.mem_ctrls.perBankWrBursts::14,0
system.mem_ctrls.perBankWrBursts::15,0
system.mem_ctrls.avgRdQLen,0.00
system.mem_ctrls.avgWrQLen,0.00
system.mem_ctrls.totQLat,0
system.mem_ctrls.totBusLat,0
system.mem_ctrls.totMemAccLat,0
system.mem_ctrls.avgQLat,nan
system.mem_ctrls.avgBusLat,nan
system.mem_ctrls.avgMemAccLat,nan
system.mem_ctrls.numRdRetry,0
system.mem_ctrls.numWrRetry,0
system.mem_ctrls.readRowHits,0
system.mem_ctrls.writeRowHits,0
system.mem_ctrls.readRowHitRate,nan
system.mem_ctrls.writeRowHitRate,nan
system.mem_ctrls.readPktSize::0,0
system.mem_ctrls.readPktSize::1,0
system.mem_ctrls.readPktSize::2,0
system.mem_ctrls.readPktSize::3,0
system.mem_ctrls.readPktSize::4,0
system.mem_ctrls.readPktSize::5,0
system.mem_ctrls.readPktSize::6,0
system.mem_ctrls.writePktSize::0,0
system.mem_ctrls.writePktSize::1,0
system.mem_ctrls.writePktSize::2,0
system.mem_ctrls.writePktSize::3,0
system.mem_ctrls.writePktSize::4,0
system.mem_ctrls.writePktSize::5,0
system.mem_ctrls.writePktSize::6,0
system.mem_ctrls.rdQLenPdf::0,0
system.mem_ctrls.rdQLenPdf::1,0
system.mem_ctrls.rdQLenPdf::2,0
system.mem_ctrls.rdQLenPdf::3,0
system.mem_ctrls.rdQLenPdf::4,0
system.mem_ctrls.rdQLenPdf::5,0
system.mem_ctrls.rdQLenPdf::6,0
system.mem_ctrls.rdQLenPdf::7,0
system.mem_ctrls.rdQLenPdf::8,0
system.mem_ctrls.rdQLenPdf::9,0
system.mem_ctrls.rdQLenPdf::10,0
system.mem_ctrls.rdQLenPdf::11,0
system.mem_ctrls.rdQLenPdf::12,0
system.mem_ctrls.rdQLenPdf::13,0
system.mem_ctrls.rdQLenPdf::14,0
system.mem_ctrls.rdQLenPdf::15,0
system.mem_ctrls.rdQLenPdf::16,0
system.mem_ctrls.rdQLenPdf::17,0
system.mem_ctrls.rdQLenPdf::18,0
system.mem_ctrls.rdQLenPdf::19,0
system.mem_ctrls.rdQLenPdf::20,0
system.mem_ctrls.rdQLenPdf::21,0
system.mem_ctrls.rdQLenPdf::22,0
system.mem_ctrls.rdQLenPdf::23,0
system.mem_ctrls.rdQLenPdf::24,0
system.mem_ctrls.rdQLenPdf::25,0
system.mem_ctrls.rdQLenPdf::26,0
system.mem_ctrls.rdQLenPdf::27,0
system.mem_ctrls.rdQLenPdf::28,0
system.mem_ctrls.rdQLenPdf::29,0
system.mem_ctrls.rdQLenPdf::30,0
system.mem_ctrls.rdQLenPdf::31,0
system.mem_ctrls.wrQLenPdf::0,0
system.mem_ctrls.wrQLenPdf::1,0
system.mem_ctrls.wrQLenPdf::2,0
system.mem_ctrls.wrQLenPdf::3,0
system.mem_ctrls.wrQLenPdf::4,0
system.mem_ctrls.wrQLenPdf::5,0
system.mem_ctrls.wrQLenPdf::6,0
system.mem_ctrls.wrQLenPdf::7,0
system.mem_ctrls.wrQLenPdf::8,0
system.mem_ctrls.wrQLenPdf::9,0
system.mem_ctrls.wrQLenPdf::10,0
system.mem_ctrls.wrQLenPdf::11,0
system.mem_ctrls.wrQLenPdf::12,0
system.mem_ctrls.wrQLenPdf::13,0
system.mem_ctrls.wrQLenPdf::14,0
system.mem_ctrls.wrQLenPdf::15,0
system.mem_ctrls.wrQLenPdf::16,0
system.mem_ctrls.wrQLenPdf::17,0
system.mem_ctrls.wrQLenPdf::18,0
system.mem_ctrls.wrQLenPdf::19,0
system.mem_ctrls.wrQLenPdf::20,0
system.mem_ctrls.wrQLenPdf::21,0
system.mem_ctrls.wrQLenPdf::22,0
system.mem_ctrls.wrQLenPdf::23,0
system.mem_ctrls.wrQLenPdf::24,0
system.mem_ctrls.wrQLenPdf::25,0
system.mem_ctrls.wrQLenPdf::26,0
system.mem_ctrls.wrQLenPdf::27,0
system.mem_ctrls.wrQLenPdf::28,0
system.mem_ctrls.wrQLenPdf::29,0
system.mem_ctrls.wrQLenPdf::30,0
system.mem_ctrls.wrQLenPdf::31,0
system.mem_ctrls.wrQLenPdf::32,0
system.mem_ctrls.wrQLenPdf::33,0
system.mem_ctrls.wrQLenPdf::34,0
system.mem_ctrls.wrQLenPdf::35,0
system.mem_ctrls.wrQLenPdf::36,0
system.mem_ctrls.wrQLenPdf::37,0
system.mem_ctrls.wrQLenPdf::38,0
system.mem_ctrls.wrQLenPdf::39,0
system.mem_ctrls.wrQLenPdf::40,0
system.mem_ctrls.wrQLenPdf::41,0
system.mem_ctrls.wrQLenPdf::42,0
system.mem_ctrls.wrQLenPdf::43,0
system.mem_ctrls.wrQLenPdf::44,0
system.mem_ctrls.wrQLenPdf::45,0
system.mem_ctrls.wrQLenPdf::46,0
system.mem_ctrls.wrQLenPdf::47,0
system.mem_ctrls.wrQLenPdf::48,0
system.mem_ctrls.wrQLenPdf::49,0
system.mem_ctrls.wrQLenPdf::50,0
system.mem_ctrls.wrQLenPdf::51,0
system.mem_ctrls.wrQLenPdf::52,0
system.mem_ctrls.wrQLenPdf::53,0
system.mem_ctrls.wrQLenPdf::54,0
system.mem_ctrls.wrQLenPdf::55,0
system.mem_ctrls.wrQLenPdf::56,0
system.mem_ctrls.wrQLenPdf::57,0
system.mem_ctrls.wrQLenPdf::58,0
system.mem_ctrls.wrQLenPdf::59,0
system.mem_ctrls.wrQLenPdf::60,0
system.mem_ctrls.wrQLenPdf::61,0
system.mem_ctrls.wrQLenPdf::62,0
system.mem_ctrls.wrQLenPdf::63,0
system.mem_ctrls.bytesReadDRAM,0
system.mem_ctrls.bytesReadWrQ,0
system.mem_ctrls.bytesWritten,0
system.mem_ctrls.bytesReadSys,0
system.mem_ctrls.bytesWrittenSys,0
system.mem_ctrls.avgRdBW,0.00
system.mem_ctrls.avgWrBW,0.00
system.mem_ctrls.avgRdBWSys,0.00
system.mem_ctrls.avgWrBWSys,0.00
system.mem_ctrls.peakBW,12800.00
system.mem_ctrls.busUtil,0.00
system.mem_ctrls.busUtilRead,0.00
system.mem_ctrls.busUtilWrite,0.00
system.mem_ctrls.totGap,0
system.mem_ctrls.avgGap,nan
system.mem_ctrls.pageHitRate,nan
system.mem_ctrls.rank1.actEnergy,0
system.mem_ctrls.rank1.preEnergy,0
system.mem_ctrls.rank1.readEnergy,0
system.mem_ctrls.rank1.writeEnergy,0
system.mem_ctrls.rank1.refreshEnergy,0
system.mem_ctrls.rank1.actBackEnergy,0
system.mem_ctrls.rank1.preBackEnergy,2281920
system.mem_ctrls.rank1.actPowerDownEnergy,0
system.mem_ctrls.rank1.prePowerDownEnergy,0
system.mem_ctrls.rank1.selfRefreshEnergy,0
system.mem_ctrls.rank1.totalEnergy,2281920
system.mem_ctrls.rank1.averagePower,384.064630
system.mem_ctrls.rank1.totalIdleTime,0
system.mem_ctrls.rank1.memoryStateTime::IDLE,5941500
system.mem_ctrls.rank1.memoryStateTime::REF,0
system.mem_ctrls.rank1.memoryStateTime::SREF,0
system.mem_ctrls.rank1.memoryStateTime::PRE_PDN,0
system.mem_ctrls.rank1.memoryStateTime::ACT,0
system.mem_ctrls.rank1.memoryStateTime::ACT_PDN,0
system.mem_ctrls.rank0.actEnergy,0
system.mem_ctrls.rank0.preEnergy,0
system.mem_ctrls.rank0.readEnergy,0
system.mem_ctrls.rank0.writeEnergy,0
system.mem_ctrls.rank0.refreshEnergy,0
system.mem_ctrls.rank0.actBackEnergy,0
system.mem_ctrls.rank0.preBackEnergy,2281920
system.mem_ctrls.rank0.actPowerDownEnergy,0
system.mem_ctrls.rank0.prePowerDownEnergy,0
system.mem_ctrls.rank0.selfRefreshEnergy,0
system.mem_ctrls.rank0.totalEnergy,2281920
system.mem_ctrls.rank0.averagePower,384.064630
system.mem_ctrls.rank0.totalIdleTime,0
system.mem_ctrls.rank0.memoryStateTime::IDLE,5941500
system.mem_ctrls.rank0.memoryStateTime::REF,0
system.mem_ctrls.rank0.memoryStateTime::SREF,0
system.mem_ctrls.rank0.memoryStateTime::PRE_PDN,0
system.mem_ctrls.rank0.memoryStateTime::ACT,0
system.mem_ctrls.rank0.memoryStateTime::ACT_PDN,0
system.cpu_clk_domain.clock,500
system.cpu.numPwrStateTransitions,1
system.cpu.pwrStateResidencyTicks::ON,5941500
system.cpu.dtb.walker.pwrStateResidencyTicks::UNDEFINED,5941500
system.cpu.interrupts.clk_domain.clock,8000
system.cpu.itb.walker.pwrStateResidencyTicks::UNDEFINED,5941500
